epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.5882353186607361,0.5898094177246094,0.0010000000474974513,0.7109156250953674,0.47777777910232544,0.5420584082603455,1.1340242624282837
1,0.6196078658103943,0.6802263259887695,0.0010000000474974513,0.6313305497169495,0.5,0.5047006607055664,0.7057135105133057
2,0.6647058725357056,0.7433291077613831,0.0010000000474974513,0.5887655019760132,0.5222222208976746,0.5583869218826294,0.7189640402793884
3,0.7156862616539001,0.8020178079605103,0.0010000000474974513,0.5385871529579163,0.5777778029441833,0.6924790143966675,0.6907886266708374
4,0.7352941036224365,0.8229110240936279,0.0010000000474974513,0.5200687050819397,0.5333333611488342,0.8139535188674927,0.6765835285186768
5,0.7352941036224365,0.81988126039505,0.0010000000474974513,0.5170813202857971,0.644444465637207,0.8330034613609314,0.6060394048690796
6,0.7156862616539001,0.824364423751831,0.0010000000474974513,0.5028834939002991,0.8333333134651184,0.8899059891700745,0.49702873826026917
7,0.7372549176216125,0.8478491306304932,0.0010000000474974513,0.4786130487918854,0.8333333134651184,0.9178624153137207,0.4566667377948761
8,0.7862744927406311,0.8734255433082581,0.0010000000474974513,0.4529574513435364,0.4888888895511627,0.906481921672821,0.9533721208572388
9,0.7686274647712708,0.8523784875869751,0.0010000000474974513,0.4732571244239807,0.6888889074325562,0.8809995055198669,0.6174790859222412
10,0.7901960611343384,0.8789083957672119,0.0010000000474974513,0.44217929244041443,0.800000011920929,0.9289955496788025,0.39602503180503845
11,0.7921568751335144,0.8735716342926025,0.0010000000474974513,0.4484268128871918,0.5222222208976746,0.9156358242034912,0.7322819828987122
12,0.7627450823783875,0.8534165620803833,0.0010000000474974513,0.47274258732795715,0.7111111283302307,0.8438891172409058,0.6992945075035095
13,0.7882353067398071,0.8729641437530518,0.0010000000474974513,0.4434073865413666,0.7555555701255798,0.9443345069885254,0.466361403465271
14,0.7843137383460999,0.874463677406311,0.0010000000474974513,0.4460819959640503,0.644444465637207,0.8861949443817139,0.9052222967147827
15,0.8235294222831726,0.8987942337989807,0.0005000000237487257,0.4068421721458435,0.7333333492279053,0.9265215396881104,0.47442859411239624
16,0.8254901766777039,0.900955080986023,0.0005000000237487257,0.401757150888443,0.5666666626930237,0.786491870880127,1.3569607734680176
17,0.8215686082839966,0.9182571172714233,0.0005000000237487257,0.37843331694602966,0.7111111283302307,0.9030183553695679,0.6853594779968262
18,0.8392156958580017,0.9146121740341187,0.0005000000237487257,0.38367658853530884,0.7111111283302307,0.9554675817489624,0.439005970954895
19,0.843137264251709,0.9392657279968262,0.0002500000118743628,0.34526485204696655,0.8222222328186035,0.9517565965652466,0.3564609885215759
20,0.8372548818588257,0.9250704050064087,0.0002500000118743628,0.36013513803482056,0.8333333134651184,0.9567046165466309,0.35282623767852783
21,0.8490195870399475,0.930614709854126,0.0002500000118743628,0.35254615545272827,0.8444444537162781,0.9636318683624268,0.3411797285079956
22,0.8549019694328308,0.9339597225189209,0.0002500000118743628,0.34676775336265564,0.8222222328186035,0.9571994543075562,0.37019777297973633
23,0.8666666746139526,0.9292536973953247,0.0002500000118743628,0.35455137491226196,0.8999999761581421,0.9554675817489624,0.31450721621513367
24,0.843137264251709,0.9193645715713501,0.0002500000118743628,0.3729943335056305,0.7222222089767456,0.9428501129150391,0.5252447128295898
25,0.8509804010391235,0.9321526885032654,0.0002500000118743628,0.3500553369522095,0.8888888955116272,0.9502721428871155,0.3185024559497833
26,0.8529411554336548,0.9283615946769714,0.0002500000118743628,0.3559819161891937,0.7222222089767456,0.9552202224731445,0.4942547380924225
27,0.8352941274642944,0.9217483401298523,0.0002500000118743628,0.35921406745910645,0.8777777552604675,0.9495298862457275,0.3285176455974579
28,0.8529411554336548,0.9339213371276855,0.0001250000059371814,0.34136682748794556,0.8333333134651184,0.939633846282959,0.3746049702167511
29,0.8509804010391235,0.9324218034744263,0.0001250000059371814,0.3441823422908783,0.8666666746139526,0.954230546951294,0.3225620687007904
30,0.8745098114013672,0.9462635517120361,0.0001250000059371814,0.3247678279876709,0.8999999761581421,0.9485403299331665,0.3230968117713928
31,0.8647058606147766,0.9447640180587769,0.0001250000059371814,0.3245863914489746,0.800000011920929,0.9502721428871155,0.37982651591300964
32,0.8803921341896057,0.9456867575645447,6.25000029685907e-05,0.3206804096698761,0.8999999761581421,0.9510142803192139,0.3221668601036072
33,0.8803921341896057,0.9472170472145081,6.25000029685907e-05,0.31939539313316345,0.8888888955116272,0.9500247836112976,0.3144245445728302
34,0.8607842922210693,0.9348210692405701,6.25000029685907e-05,0.3347620666027069,0.8999999761581421,0.9495300054550171,0.3212660551071167
35,0.886274516582489,0.9474092721939087,6.25000029685907e-05,0.31541895866394043,0.8777777552604675,0.9480454921722412,0.3314882814884186
36,0.8745098114013672,0.9421110153198242,3.125000148429535e-05,0.32648980617523193,0.8999999761581421,0.9554675817489624,0.30561673641204834
37,0.8509804010391235,0.9360361099243164,3.125000148429535e-05,0.3384171426296234,0.9111111164093018,0.9559623599052429,0.3049236834049225
38,0.8745098114013672,0.9489626288414001,3.125000148429535e-05,0.3170202672481537,0.8999999761581421,0.9537358283996582,0.3067004084587097
39,0.8725489974021912,0.9499315619468689,3.125000148429535e-05,0.3147270083427429,0.8999999761581421,0.9552201628684998,0.3111318349838257
40,0.8745098114013672,0.947509229183197,3.125000148429535e-05,0.3226092755794525,0.9111111164093018,0.9544779658317566,0.3080471456050873
41,0.8686274290084839,0.9497931599617004,3.125000148429535e-05,0.3078925907611847,0.8999999761581421,0.9534883499145508,0.3149714469909668
42,0.884313702583313,0.955114483833313,1.5625000742147677e-05,0.3104950487613678,0.8777777552604675,0.9534883499145508,0.31617870926856995
43,0.8568627238273621,0.9383430480957031,1.5625000742147677e-05,0.3300040364265442,0.9111111164093018,0.9557149410247803,0.3075060546398163
44,0.8549019694328308,0.9423032402992249,1.5625000742147677e-05,0.3252265751361847,0.8999999761581421,0.9567046165466309,0.3109695613384247
45,0.8627451062202454,0.954430103302002,1.5625000742147677e-05,0.30858802795410156,0.8999999761581421,0.9554675817489624,0.30797433853149414
46,0.8803921341896057,0.955491304397583,7.812500371073838e-06,0.3036000430583954,0.8999999761581421,0.9567046165466309,0.3072603642940521
47,0.8764705657958984,0.9474400281906128,7.812500371073838e-06,0.3152804970741272,0.9111111164093018,0.9571993947029114,0.3091951906681061
