epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.6098039150238037,0.6363943815231323,0.0010000000474974513,0.6863422989845276,0.47777777910232544,0.5472538471221924,1.3784401416778564
1,0.7058823704719543,0.7869149446487427,0.0010000000474974513,0.5585624575614929,0.5,0.5665512084960938,0.8660732507705688
2,0.7254902124404907,0.8164670467376709,0.0010000000474974513,0.5245627164840698,0.5222222208976746,0.6491835713386536,1.0025286674499512
3,0.7921568751335144,0.8786622881889343,0.0010000000474974513,0.45638567209243774,0.5222222208976746,0.723651647567749,1.8543095588684082
4,0.8333333134651184,0.9026545286178589,0.0010000000474974513,0.42299482226371765,0.5222222208976746,0.5727362632751465,2.6358892917633057
5,0.8235294222831726,0.9058919548988342,0.0010000000474974513,0.4098629951477051,0.5222222208976746,0.5131123661994934,3.3584933280944824
6,0.8588235378265381,0.9351670742034912,0.0005000000237487257,0.35923993587493896,0.5222222208976746,0.5131123661994934,3.9868502616882324
7,0.9039215445518494,0.9558373093605042,0.0005000000237487257,0.3176712095737457,0.5222222208976746,0.5131123661994934,3.7383079528808594
8,0.9078431129455566,0.9602667093276978,0.0005000000237487257,0.2943810820579529,0.5222222208976746,0.5247402787208557,3.479123830795288
9,0.9098039269447327,0.9705864191055298,0.0005000000237487257,0.2697468101978302,0.5222222208976746,0.5702622532844543,3.0820047855377197
10,0.9254902005195618,0.9793450832366943,0.0002500000118743628,0.24353191256523132,0.5222222208976746,0.7647204399108887,2.28704833984375
11,0.9509803652763367,0.984774112701416,0.0002500000118743628,0.2295471727848053,0.5222222208976746,0.926768958568573,1.736804723739624
