epoch,accuracy,learning_rate,loss,top_2_accuracy,val_accuracy,val_loss,val_top_2_accuracy
0,0.26143792271614075,0.0003000000142492354,1.7683783769607544,0.4749455451965332,0.15432098507881165,1.826055645942688,0.34567901492118835
1,0.38997820019721985,0.0003000000142492354,1.5857672691345215,0.6241829991340637,0.15432098507881165,1.8583061695098877,0.34567901492118835
2,0.49891066551208496,0.0003000000142492354,1.4297828674316406,0.7505446672439575,0.15432098507881165,1.9364954233169556,0.34567901492118835
3,0.5882353186607361,0.0003000000142492354,1.2807508707046509,0.8191720843315125,0.15432098507881165,2.0837020874023438,0.34567901492118835
4,0.6361655592918396,0.0003000000142492354,1.1221015453338623,0.8801742792129517,0.15432098507881165,2.3574752807617188,0.34567901492118835
5,0.6982570886611938,0.0003000000142492354,0.9990881085395813,0.9117646813392639,0.15432098507881165,3.014052152633667,0.34567901492118835
6,0.7440087199211121,0.0003000000142492354,0.8767838478088379,0.9389978051185608,0.15432098507881165,3.8510124683380127,0.34567901492118835
7,0.7668845057487488,0.0003000000142492354,0.8208326697349548,0.9596949815750122,0.15432098507881165,4.718250751495361,0.34567901492118835
8,0.7832244038581848,0.0001500000071246177,0.7666288614273071,0.9673202633857727,0.15432098507881165,5.343586444854736,0.34567901492118835
9,0.8093681931495667,0.0001500000071246177,0.7359574437141418,0.9651415944099426,0.15432098507881165,5.882684230804443,0.34567901492118835
10,0.8474945425987244,0.0001500000071246177,0.6817869544029236,0.9814814925193787,0.15432098507881165,6.2673845291137695,0.34567901492118835
11,0.8518518805503845,0.0001500000071246177,0.6711602807044983,0.9803921580314636,0.15432098507881165,6.771193504333496,0.34567901492118835
12,0.8496732115745544,0.0001500000071246177,0.650107741355896,0.9825708270072937,0.15432098507881165,6.974946975708008,0.34567901492118835
13,0.85838782787323,0.0001500000071246177,0.6259045004844666,0.9793028235435486,0.15432098507881165,7.273868560791016,0.34567901492118835
14,0.8638344407081604,0.0001500000071246177,0.6041470766067505,0.9891067743301392,0.15432098507881165,7.599565505981445,0.34567901492118835
15,0.8845316171646118,7.500000356230885e-05,0.5744549036026001,0.9945533871650696,0.15432098507881165,7.805655002593994,0.34567901492118835
16,0.8921568393707275,7.500000356230885e-05,0.5668595433235168,0.985838770866394,0.15432098507881165,7.951511859893799,0.34567901492118835
17,0.8899782299995422,7.500000356230885e-05,0.5594255328178406,0.983660101890564,0.15432098507881165,8.047199249267578,0.34567901492118835
18,0.8943355083465576,7.500000356230885e-05,0.5458523631095886,0.9934640526771545,0.15432098507881165,7.8689703941345215,0.34567901492118835
19,0.8910675644874573,7.500000356230885e-05,0.5516513586044312,0.9912853837013245,0.15432098507881165,7.8218841552734375,0.34567901492118835
20,0.899782121181488,7.500000356230885e-05,0.5293856859207153,0.9934640526771545,0.15432098507881165,7.826240539550781,0.34567901492118835
