epoch,accuracy,learning_rate,loss,top_2_accuracy,val_accuracy,val_loss,val_top_2_accuracy
0,0.34422656893730164,0.0010000000474974513,1.5618423223495483,0.5882353186607361,0.1666666716337204,23.047910690307617,0.35185185074806213
1,0.584967315196991,0.0010000000474974513,1.1177923679351807,0.8039215803146362,0.1666666716337204,20.351377487182617,0.35185185074806213
2,0.7069717049598694,0.0010000000474974513,0.7985765933990479,0.9183006286621094,0.1666666716337204,16.41508674621582,0.29629629850387573
3,0.7647058963775635,0.0010000000474974513,0.6634460091590881,0.9564270377159119,0.1666666716337204,7.970299243927002,0.37037035822868347
4,0.8246187567710876,0.0010000000474974513,0.5431968569755554,0.9749455451965332,0.1666666716337204,6.269217014312744,0.35185185074806213
5,0.8562091588973999,0.0010000000474974513,0.4754529297351837,0.9880174398422241,0.15432098507881165,3.4278390407562256,0.4197530746459961
6,0.8801742792129517,0.0010000000474974513,0.39683011174201965,0.985838770866394,0.17283950746059418,4.0037360191345215,0.37654322385787964
7,0.899782121181488,0.0010000000474974513,0.34900614619255066,0.9901960492134094,0.17283950746059418,4.151089191436768,0.32098764181137085
8,0.9193899631500244,0.0010000000474974513,0.3302137851715088,0.9934640526771545,0.18518517911434174,4.287082672119141,0.34567901492118835
9,0.93028324842453,0.0010000000474974513,0.28167158365249634,0.9978213310241699,0.22839505970478058,4.2946295738220215,0.3641975224018097
10,0.9477124214172363,0.0005000000237487257,0.23571278154850006,0.9967319965362549,0.17901234328746796,4.0953569412231445,0.37654322385787964
11,0.9466230869293213,0.0005000000237487257,0.22173325717449188,0.9967319965362549,0.17901234328746796,5.150600433349609,0.37037035822868347
12,0.9596949815750122,0.0005000000237487257,0.189669668674469,1.0,0.17283950746059418,5.171953201293945,0.37654322385787964
13,0.9662309288978577,0.0005000000237487257,0.1773255169391632,0.998910665512085,0.1666666716337204,6.462263584136963,0.37037035822868347
14,0.9749455451965332,0.0002500000118743628,0.1565593183040619,0.998910665512085,0.16049382090568542,6.594588756561279,0.37654322385787964
15,0.9760348796844482,0.0002500000118743628,0.1612633317708969,1.0,0.16049382090568542,6.349425315856934,0.3827160596847534
