epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.6607843041419983,0.6792805790901184,0.0010000000474974513,1.758167028427124,0.7888888716697693,0.7949035167694092,0.5114657282829285
1,0.8725489974021912,0.947255551815033,0.0010000000474974513,0.3020046055316925,0.7333333492279053,0.8421573638916016,0.49490800499916077
2,0.9392156600952148,0.9890497922897339,0.0010000000474974513,0.1414443701505661,0.8111110925674438,0.9205838441848755,0.4006355404853821
3,0.9666666388511658,0.9928407669067383,0.0010000000474974513,0.11454508453607559,0.8222222328186035,0.9804552793502808,0.35666176676750183
4,0.9725490212440491,0.9957321286201477,0.0010000000474974513,0.08529484272003174,0.9666666388511658,0.9980207681655884,0.2503626048564911
5,0.9803921580314636,0.9970932006835938,0.0010000000474974513,0.07360564917325974,0.9555555582046509,0.9962890148162842,0.23276154696941376
6,0.9823529124259949,0.9979391098022461,0.0010000000474974513,0.06224897503852844,0.9666666388511658,0.9965363144874573,0.18656755983829498
7,0.9862744808197021,0.9984697103500366,0.0010000000474974513,0.05603231489658356,0.9555555582046509,0.9935675263404846,0.1842678040266037
8,0.9843137264251709,0.998969554901123,0.0010000000474974513,0.05090000480413437,0.9666666388511658,0.9970312118530273,0.1954096257686615
9,0.9862744808197021,0.9974085092544556,0.0010000000474974513,0.058152396231889725,0.9444444179534912,0.9940623641014099,0.13744665682315826
10,0.9764705896377563,0.9981621503829956,0.0010000000474974513,0.059341203421354294,0.6111111044883728,0.9918357133865356,0.7390288710594177
11,0.9784313440322876,0.9977160692214966,0.0010000000474974513,0.06234521418809891,0.7888888716697693,0.9861454367637634,0.37849318981170654
12,0.9882352948188782,0.9988465309143066,0.0010000000474974513,0.04719838127493858,0.8999999761581421,0.99727863073349,0.2418215274810791
13,0.9470587968826294,0.9913104772567749,0.0010000000474974513,0.11224398016929626,0.7777777910232544,0.9873824715614319,0.4790739417076111
14,0.9803921580314636,0.9952783584594727,0.0005000000237487257,0.07322259247303009,0.9333333373069763,0.9935675859451294,0.15029782056808472
15,0.9803921580314636,0.9965549111366272,0.0005000000237487257,0.05158620327711105,0.9666666388511658,0.9962889552116394,0.08607584983110428
16,0.9862744808197021,0.9993540048599243,0.0005000000237487257,0.03614450991153717,0.9555555582046509,0.9955466985702515,0.1416553258895874
17,0.9901960492134094,0.9993463754653931,0.0005000000237487257,0.03230306878685951,0.9555555582046509,0.9952993988990784,0.1447516828775406
18,0.9921568632125854,0.9997923374176025,0.0005000000237487257,0.021708466112613678,0.9555555582046509,0.9985155463218689,0.06756407022476196
19,0.9921568632125854,0.9998615980148315,0.0005000000237487257,0.017494672909379005,0.9555555582046509,0.9980207681655884,0.06352090835571289
20,0.9941176176071167,0.999938428401947,0.0005000000237487257,0.013567677699029446,0.9555555582046509,0.9975259304046631,0.07292830944061279
21,0.9960784316062927,0.999938428401947,0.0005000000237487257,0.012842917814850807,0.9555555582046509,0.9970312118530273,0.07156924903392792
22,0.9960784316062927,0.9999691843986511,0.0005000000237487257,0.011475385166704655,0.9555555582046509,0.9975259900093079,0.06673885136842728
23,0.9960784316062927,0.9999692440032959,0.0005000000237487257,0.010439258068799973,0.9555555582046509,0.9980207681655884,0.06860765069723129
24,1.0,0.9999999403953552,0.0002500000118743628,0.007419986184686422,0.9555555582046509,0.9975260496139526,0.0663241446018219
25,0.998039186000824,1.0,0.0002500000118743628,0.007480289787054062,0.9555555582046509,0.9980208277702332,0.06875722110271454
26,0.998039186000824,0.9999999403953552,0.0002500000118743628,0.00764368986710906,0.9555555582046509,0.9977734088897705,0.06725972145795822
27,0.998039186000824,1.0,0.0002500000118743628,0.007562314160168171,0.9555555582046509,0.9980208277702332,0.06734859943389893
28,1.0,1.0,0.0001250000059371814,0.0065597910434007645,0.9555555582046509,0.9980208277702332,0.06374135613441467
29,1.0,0.9999999403953552,0.0001250000059371814,0.006229173392057419,0.9666666388511658,0.9980208277702332,0.06282702833414078
30,1.0,1.0,0.0001250000059371814,0.006121334619820118,0.9666666388511658,0.9980207681655884,0.06255293637514114
31,1.0,1.0,0.0001250000059371814,0.006078334990888834,0.9666666388511658,0.9980208277702332,0.06199122965335846
32,1.0,1.0,0.0001250000059371814,0.0060177999548614025,0.9666666388511658,0.9980207681655884,0.0618111677467823
33,1.0,1.0,0.0001250000059371814,0.005955804605036974,0.9666666388511658,0.9980207681655884,0.061660442501306534
34,1.0,1.0,0.0001250000059371814,0.005897454917430878,0.9666666388511658,0.9980207681655884,0.06162627413868904
35,1.0,1.0,0.0001250000059371814,0.0058330269530415535,0.9666666388511658,0.9980207681655884,0.06137389689683914
36,1.0,0.9999999403953552,0.0001250000059371814,0.005773534998297691,0.9666666388511658,0.9980207681655884,0.06135905534029007
37,1.0,0.9999999403953552,0.0001250000059371814,0.005717130843549967,0.9666666388511658,0.9980207681655884,0.06138555705547333
38,1.0,0.9999999403953552,0.0001250000059371814,0.005657201167196035,0.9666666388511658,0.9980207681655884,0.061402373015880585
39,1.0,0.9999999403953552,0.0001250000059371814,0.00559964356943965,0.9666666388511658,0.9980207681655884,0.06145685166120529
40,1.0,0.9999999403953552,6.25000029685907e-05,0.005242474377155304,0.9666666388511658,0.9980207681655884,0.0589861124753952
41,1.0,0.9999999403953552,6.25000029685907e-05,0.005012963432818651,0.9666666388511658,0.9980208277702332,0.05928103253245354
42,1.0,0.9999999403953552,6.25000029685907e-05,0.005027306266129017,0.9666666388511658,0.9980208277702332,0.059152159839868546
43,1.0,0.9999999403953552,6.25000029685907e-05,0.004980962257832289,0.9666666388511658,0.9980208277702332,0.05916755646467209
44,1.0,0.9999999403953552,6.25000029685907e-05,0.004955702926963568,0.9666666388511658,0.9980208277702332,0.05913473293185234
45,1.0,0.9999999403953552,3.125000148429535e-05,0.004797650966793299,0.9666666388511658,0.9980208277702332,0.058723099529743195
46,1.0,0.9999999403953552,3.125000148429535e-05,0.0047524720430374146,0.9666666388511658,0.9980207681655884,0.058624692261219025
47,1.0,0.9999999403953552,3.125000148429535e-05,0.004734937567263842,0.9666666388511658,0.9980207681655884,0.05859903618693352
48,1.0,0.9999999403953552,3.125000148429535e-05,0.004719122778624296,0.9666666388511658,0.9980207681655884,0.05850138142704964
49,1.0,0.9999999403953552,3.125000148429535e-05,0.004702897276729345,0.9666666388511658,0.9980207681655884,0.058460965752601624
50,1.0,0.9999999403953552,3.125000148429535e-05,0.004685914609581232,0.9666666388511658,0.9980207681655884,0.05841074511408806
51,1.0,0.9999999403953552,3.125000148429535e-05,0.004669331479817629,0.9666666388511658,0.9980208277702332,0.05839778482913971
52,1.0,1.0,3.125000148429535e-05,0.004651939496397972,0.9666666388511658,0.9980208277702332,0.05837755277752876
53,1.0,1.0,3.125000148429535e-05,0.004635561723262072,0.9666666388511658,0.9980208277702332,0.058347150683403015
54,1.0,1.0,3.125000148429535e-05,0.004619171842932701,0.9666666388511658,0.9980208277702332,0.05835046246647835
55,1.0,1.0,3.125000148429535e-05,0.004601519089192152,0.9666666388511658,0.9980208277702332,0.058293458074331284
56,1.0,1.0,3.125000148429535e-05,0.004585640039294958,0.9666666388511658,0.9980207681655884,0.05840502306818962
57,1.0,0.9999999403953552,3.125000148429535e-05,0.004567458759993315,0.9666666388511658,0.9980207681655884,0.05831572040915489
58,1.0,0.9999999403953552,1.5625000742147677e-05,0.004482059273868799,0.9666666388511658,0.9980207681655884,0.05825154110789299
59,1.0,0.9999999403953552,1.5625000742147677e-05,0.004466467536985874,0.9666666388511658,0.9980208277702332,0.05822553485631943
60,1.0,0.9999999403953552,1.5625000742147677e-05,0.004454645328223705,0.9666666388511658,0.9980208277702332,0.058171346783638
61,1.0,0.9999999403953552,1.5625000742147677e-05,0.004445364698767662,0.9666666388511658,0.9980208277702332,0.05814070254564285
