epoch,accuracy,learning_rate,loss,top_2_accuracy,val_accuracy,val_loss,val_top_2_accuracy
0,0.2679738700389862,0.0003000000142492354,1.797257661819458,0.44880175590515137,0.17283950746059418,2.9878368377685547,0.3395061790943146
1,0.35947713255882263,0.0003000000142492354,1.5263882875442505,0.6176470518112183,0.1666666716337204,4.187192440032959,0.3395061790943146
2,0.5076252818107605,0.0003000000142492354,1.3054157495498657,0.7777777910232544,0.1666666716337204,4.111611843109131,0.3395061790943146
3,0.5893245935440063,0.0003000000142492354,1.1371842622756958,0.8333333134651184,0.1666666716337204,2.7646355628967285,0.5
4,0.6405228972434998,0.0003000000142492354,1.0089699029922485,0.8758170008659363,0.20370370149612427,3.2654223442077637,0.43209877610206604
5,0.6884531378746033,0.0003000000142492354,0.922454297542572,0.9095860719680786,0.17283950746059418,4.569674015045166,0.34567901492118835
6,0.7102396488189697,0.0003000000142492354,0.8423125743865967,0.9117646813392639,0.16049382090568542,4.61512565612793,0.34567901492118835
7,0.7538126111030579,0.0003000000142492354,0.7681437730789185,0.9400871396064758,0.14814814925193787,4.426336288452148,0.34567901492118835
8,0.7712418437004089,0.0003000000142492354,0.7467024326324463,0.9477124214172363,0.15432098507881165,4.5268731117248535,0.34567901492118835
9,0.8039215803146362,0.0003000000142492354,0.6981157064437866,0.9564270377159119,0.16049382090568542,3.029299020767212,0.3395061790943146
10,0.8148148059844971,0.0003000000142492354,0.6624683141708374,0.9662309288978577,0.20370370149612427,2.2141566276550293,0.3580246865749359
11,0.813725471496582,0.0003000000142492354,0.6314130425453186,0.985838770866394,0.2222222238779068,2.215440273284912,0.48765432834625244
12,0.8333333134651184,0.0003000000142492354,0.5988655686378479,0.9803921580314636,0.2716049253940582,2.1743242740631104,0.5246913433074951
13,0.842047929763794,0.0003000000142492354,0.5804367661476135,0.9771241545677185,0.2469135820865631,2.8187410831451416,0.48148149251937866
14,0.8714597225189209,0.0003000000142492354,0.5452695488929749,0.9814814925193787,0.3086419701576233,2.5065906047821045,0.5432098507881165
15,0.8671023845672607,0.0003000000142492354,0.5386022925376892,0.9793028235435486,0.327160507440567,2.4672446250915527,0.5864197611808777
16,0.8769063353538513,0.0003000000142492354,0.5126824378967285,0.984749436378479,0.32098764181137085,2.5638673305511475,0.5617284178733826
17,0.9030501246452332,0.0003000000142492354,0.4851612448692322,0.9912853837013245,0.34567901492118835,1.977441430091858,0.7037037014961243
18,0.8965141773223877,0.0003000000142492354,0.4703398644924164,0.9934640526771545,0.4135802388191223,2.200127601623535,0.5864197611808777
19,0.915032684803009,0.0003000000142492354,0.4605126678943634,0.9869281053543091,0.4753086566925049,1.7455717325210571,0.6728395223617554
20,0.9183006286621094,0.0003000000142492354,0.44197121262550354,0.9945533871650696,0.4197530746459961,2.0037853717803955,0.6604938507080078
