epoch,accuracy,learning_rate,loss,top_2_accuracy,val_accuracy,val_loss,val_top_2_accuracy
0,0.2527233064174652,0.0003000000142492354,1.7704731225967407,0.47603484988212585,0.15432098507881165,1.823455810546875,0.34567901492118835
1,0.36710238456726074,0.0003000000142492354,1.5876405239105225,0.6230936646461487,0.15432098507881165,1.84895658493042,0.34567901492118835
2,0.4978213608264923,0.0003000000142492354,1.4402433633804321,0.7331154942512512,0.15432098507881165,1.9255988597869873,0.34567901492118835
3,0.584967315196991,0.0003000000142492354,1.2809966802597046,0.8202614188194275,0.15432098507881165,2.1071505546569824,0.34567901492118835
4,0.6361655592918396,0.0003000000142492354,1.117569923400879,0.8681917190551758,0.15432098507881165,2.5579895973205566,0.34567901492118835
5,0.6830065250396729,0.0003000000142492354,0.9976614117622375,0.912854015827179,0.15432098507881165,3.416827917098999,0.34567901492118835
6,0.7178649306297302,0.0003000000142492354,0.8890876770019531,0.9324618577957153,0.15432098507881165,4.221815586090088,0.34567901492118835
7,0.741830050945282,0.0003000000142492354,0.8412291407585144,0.9488017559051514,0.15432098507881165,4.999396324157715,0.34567901492118835
8,0.7832244038581848,0.0001500000071246177,0.7783118486404419,0.9575163125991821,0.15432098507881165,5.667823314666748,0.34567901492118835
9,0.7919390201568604,0.0001500000071246177,0.7403353452682495,0.9684095978736877,0.15432098507881165,6.102205276489258,0.34567901492118835
10,0.827886700630188,0.0001500000071246177,0.7031572461128235,0.9793028235435486,0.15432098507881165,6.484785556793213,0.34567901492118835
11,0.813725471496582,0.0001500000071246177,0.6928937435150146,0.9749455451965332,0.15432098507881165,6.923480033874512,0.34567901492118835
12,0.8322439789772034,0.0001500000071246177,0.674403190612793,0.9738562107086182,0.15432098507881165,7.0963239669799805,0.34567901492118835
13,0.8387799859046936,0.0001500000071246177,0.6521170139312744,0.9803921580314636,0.15432098507881165,7.433514595031738,0.34567901492118835
14,0.8529411554336548,0.0001500000071246177,0.6343915462493896,0.984749436378479,0.15432098507881165,7.802077293395996,0.34567901492118835
15,0.8660130500793457,7.500000356230885e-05,0.6048724055290222,0.9901960492134094,0.15432098507881165,7.8867669105529785,0.34567901492118835
